 Teste1 Teste2 Teste3 Teste4 Teste5 Teste6 Teste7 Teste8 Teste9 Teste10 Media Melhor 
MelhorApt1 -15,744887 -13,330301 -16,339328 -13,116584 -11,520991 -16,653651 -13,171422 -7,476959 -16,190184 -13,609313 -13,715361999999999 -16,653651 
MelhorApt2 -15,744887 -13,330301 -15,92834 -13,116584 -10,039589 -15,744887 -16,875941 -7,476959 -16,863505 -16,875941 -14,199693400000001 -16,875941 
MelhorApt3 -15,744887 -13,330301 -16,875941 -13,116584 -10,039589 -15,98089 -8,244894 -7,441279 -16,190184 -16,1482 -13,3112749 -16,875941 
MelhorApt4 -15,744887 -12,099256 -12,720202 -13,116584 -13,171422 -15,98089 -15,92834 -7,419401 -16,190184 -16,875941 -13,9247107 -16,875941 
MelhorApt5 -16,526939 -13,180239 2,775824 -13,330301 -15,98089 -16,526939 -15,92834 -7,466442 -13,180239 -16,1482 -12,5492705 -16,526939 
MelhorApt6 -11,039395 -12,930374 -9,961241 -13,330301 -13,171422 -16,526939 -15,098838 -7,472696 -13,561318 -16,752155 -12,9844679 -16,752155 
MelhorApt7 -16,190184 -11,520991 -9,961241 -13,698283 -13,529897 -16,653651 -15,098838 -10,562877 -13,723626 -16,752155 -13,7691743 -16,752155 
MelhorApt8 -16,372332 -2,874736 -9,961241 -13,739406 -11,039395 -16,526939 -15,098838 -10,350703 -13,561318 -16,822182 -12,634709 -16,822182 
MelhorApt9 -16,372332 -3,950943 -10,597987 -13,739406 -11,039395 -16,526939 -15,098838 -10,350703 -13,561318 -16,752155 -12,7990016 -16,752155 
MelhorApt10 -16,372332 -12,220905 -8,380817 -13,739406 -9,396806 -15,744887 -14,766743 -10,350703 -13,68348 -16,752155 -13,1408234 -16,752155 
